Entity,Code,Year,Dementia,Cardiovascular diseases,Kidney disease,Respiratory disease,Liver disease,"Diabetes, blood and endocrine disease",Digestive disease,Hepatitis,Cancers,Parkinson's disease,Fire,Malaria,Drowning,Homicide,HIV/AIDS,Drug disorder,Tuberculosis,Road incidents,Maternal deaths,Neonatal deaths,Alcohol disorder,Natural disasters,Diarrheal diseases,Heat-related deaths (hot or cold exposure),Nutritional deficiencies,Suicide,Execution,Meningitis (deaths),Lower respiratory infections (deaths),Intestinal infectious diseases (deaths),Protein-energy malnutrition (deaths),Conflict (deaths),Terrorism (deaths)
Afghanistan,AFG,1990,856,28372,2708,3394,1349,6177,1708,224,6483,41,281,724,1589,2072,21,66,9477,5990,2851,14917,47,0,4048,222,567,703,,6469.977091391838,22836.912346495286,295.382206545,1607.7037972460018,1508,12
Afghanistan,AFG,1991,908,30368,2851,3641,1443,6522,1792,231,6912,43,292,777,1632,2202,25,72,10059,6364,2985,15367,50,1360,4414,230,588,754,,6347.158763885498,22325.633931343706,303.866598157,1558.1323160601373,3498,68
Afghanistan,AFG,1992,970,33035,3057,3967,1572,7009,1911,242,7495,47,308,829,1713,2382,29,79,10852,6859,3171,16004,54,611,4893,250,623,820,,6659.741428179754,23205.280749965474,317.75012124,1617.721576346921,4341,49
Afghanistan,AFG,1993,1066,36512,3329,4398,1735,7655,2071,258,8218,52,330,899,1832,2600,34,87,11875,7482,3414,16831,59,224,6504,289,674,894,,8068.38626301191,28229.715397014643,333.97833108,1931.8085529867608,,
Afghanistan,AFG,1994,1161,40285,3641,4870,1911,8377,2243,276,8978,57,353,997,1964,2827,39,97,12973,8139,3686,17818,63,159,6545,315,731,977,,9432.845126561846,32652.297629937133,348.419085056,2351.629205625238,9090,22
Afghanistan,AFG,1995,1250,43668,3920,5305,2072,9031,2397,290,9662,63,377,1057,2099,3024,44,105,13941,8719,3894,18656,68,379,7828,345,787,1046,,10122.772832326318,34483.55189514679,363.583912875,2507.1151877903926,5639,5
Afghanistan,AFG,1996,1312,45964,4099,5601,2177,9482,2488,297,10092,67,390,1127,2170,3160,47,112,14584,9086,4033,19258,70,70,7757,360,800,1095,,10317.320086584848,34845.2551331504,364.559304431,2468.6158197202585,3556,31
Afghanistan,AFG,1997,1367,47796,4226,5848,2262,9841,2563,301,10432,70,404,1155,2240,3269,50,117,15157,9331,4138,19714,72,171,8373,368,810,1134,,10501.42313972871,35061.72652330397,365.918124832,2451.122257346609,6766,4
Afghanistan,AFG,1998,1410,49336,4358,6055,2331,10163,2614,302,10716,73,411,1214,2265,3355,53,122,15536,9490,4210,20066,73,7087,8513,386,789,1170,,10516.09000752627,34730.19280707998,361.517426481,2390.544168455567,12205,8
Afghanistan,AFG,1999,1459,51044,4513,6276,2394,10494,2689,303,11055,76,418,1240,2283,3454,55,129,15773,9687,4271,20478,75,70,8772,392,747,1204,,10361.152708729269,34055.78617209573,357.619331639,2293.9010059298344,5038,39
Afghanistan,AFG,2000,1515,53088,4705,6534,2478,10937,2787,307,11494,80,427,1297,2324,3589,58,137,16084,9949,4285,20997,78,0,8988,402,718,1254,,9761.290716589416,31769.175384560345,358.006995605,2114.5106377636353,5379,38
