"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","350.9","345.3","340.1","334.9","329.6","324.3","319","313.6","308.1","302.7","297.2","291.7","285.9","280.4","274.6","268.7","262.9","256.7","250.4","243.9","237.5","231","224.5","218","211.4","204.8","198.2","191.6","185.2","178.8","172.6","166.7","161.1","155.8","150.8","146.1","141.8","137.5","133.4","129.4","125.4","121.2","117","112.8","108.5","104.3","100.1","95.9","91.9","88","84.1","80.5","76.9","73.6","70.4","67.5","64.7","62.3","",
"Angola","AGO","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","238.1","235.6","232.4","230","227.9","226.2","224.9","224.1","223.4","223.3","223.4","223.6","223.6","223.7","223.6","222.9","221.3","218.8","215.3","210.9","205.7","199.7","192.6","184.8","176.2","166.8","157.3","147.7","138.3","129","120.5","112.5","104.9","98.4","92.9","88.1","84","80.4","77.2","",
"Albania","ALB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","95.3","87.7","80.8","74.5","68.6","63.4","58.7","54.6","51","47.9","45.1","42.7","40.7","38.9","37.4","35.9","34.5","33.2","31.7","30.3","28.8","27.4","25.9","24.5","23.1","21.8","20.5","19.2","17.9","16.7","15.5","14.4","13.3","12.3","11.4","10.7","10","9.6","9.3","9","8.8","",
"Andorra","AND","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","14.6","13.7","12.9","12.2","11.5","10.8","10.2","9.6","9.1","8.6","8.1","7.7","7.3","7","6.7","6.4","6.2","5.9","5.7","5.5","5.3","5","4.8","4.6","4.4","4.2","4","3.8","3.6","3.4","3.3","3.1","3","2.9","",
"Arab World","ARB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.8016605716892","78.3676680122991","76.1196147848485","73.9768699302374","71.9432694001262","69.8861102919382","67.9633600222376","66.0214811598371","64.1059128157846","62.2269473877542","60.3918986894819","58.5368401355987","56.6950018754474","54.8913954173902","53.1198181512828","51.37324486387","49.620750251304","47.8475035487588","46.0327781139127","44.2951223382785","42.7376937857508","41.4183900890319","40.2599384149788","39.1608484431254","38.2043596165801","37.2730942091025","36.5073191926654","35.7146956250325","34.9929372833126","",
"United Arab Emirates","ARE","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","199.5","189.4","179.7","169.8","159.5","149.1","138.5","127.9","117.5","107.5","97.8","88.6","80.3","72.6","65.7","59.3","53.6","48.3","43.5","39.2","35.4","32","29.1","26.7","24.6","22.8","21.2","19.8","18.6","17.5","16.6","15.7","15","14.3","13.7","13.2","12.7","12.3","11.9","11.5","11.2","10.9","10.6","10.3","10","9.7","9.4","9.2","8.9","8.7","8.5","8.3","8.1","8","7.9","7.8","7.8","7.7","7.6","",
"Argentina","ARG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","72.6","71.8","70.8","69.7","68.1","66","63.2","59.7","55.6","51.2","46.8","42.8","39.4","36.5","34.1","32.1","30.6","29.6","29.1","28.9","28.8","28.6","28.1","27.3","26.3","25.2","24.1","23.1","22.1","21.2","20.4","19.6","18.9","18.3","17.7","17.1","16.5","16.1","15.7","15.3","14.9","14.4","13.9","13.3","12.6","12","11.5","10.9","10.4","9.9","",
"Armenia","ARM","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","85.9","82.4","79.1","76","72.9","70.1","67.4","64.7","62.2","59.9","57.5","55.3","80.8","51.1","49","46.9","44.9","42.9","41","39.1","37.3","35.6","33.9","32.3","30.8","29.3","27.8","26.5","25.2","23.9","22.7","21.6","20.5","19.5","18.5","17.6","16.7","15.9","15.1","14.4","13.7","13","12.4","",
"American Samoa","ASM","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","38","35.6","33.5","31.5","29.7","28","26.4","24.9","23.4","22.1","20.8","19.7","18.6","17.6","16.7","15.8","15.1","14.4","13.7","13.1","12.5","11.9","11.3","10.8","10.2","9.6","9","8.5","8","7.6","7.3","7","6.7","6.4","",
"Australia","AUS","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","24.9","24.3","23.7","23.2","22.7","22.3","22.1","22","21.9","21.7","21.5","21","20.3","19.4","18.4","17.3","16.2","15.2","14.4","13.6","13","12.5","12.2","11.9","11.6","11.3","11","10.6","10.2","9.7","9.2","8.7","8.2","7.7","7.3","7","6.8","6.6","6.4","6.3","6.2","6.1","6","5.9","5.8","5.7","5.6","5.4","5.2","5","4.8","4.5","4.3","4.1","4","3.9","3.8","3.7","3.7","",
