Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,65.4867916524168,..,..,..,..,65.1795127055462,..,..,..,..,64.922461997785,..,..,..,..,64.5226827135877,..,..,..,..,65.2455916800454,66.8357271071327,66.02317421224,61.3667445152584,59.0103302514867,61.2526557952932,56.2870467224308,56.9108083545081
Afghanistan,AFG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,0.2,..
Afghanistan,AFG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.93204,37.05025,37.17123,37.29531,37.42216,37.55213,37.6852,37.82138,37.96068,37.5168703434373,37.5915295300905,37.6665345570879,37.7460320188898
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..,..,..,..,..,27.7718968294813,27.7972561390736,29.9007630194185,32.0050750124616,34.1262340113876,36.2652606739186,38.4063573194182,40.844181451178,43.315058867851,45.8190881970419,48.3563600604649,50.9273073282852,53.5317041603749,56.1696450791411,58.8412323271526,61.5469297111081,64.2864836343148,67.0646234205214
Afghanistan,AFG,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.7186632445467,..,..,..,..,22.029218279463,..,..,..,..,21.998248157076,..,..,..,..,21.5752579644029,..,..,..,..,21.2778281243428,22.7725366537911,20.5782591769838,19.9385171053378,18.8839549651717,19.5125396228106,18.1899337514472,18.2006025215914
Albania,ALB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.9,..,..,..,..,..,7.5,..
Albania,ALB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,49.2932408721018,49.2173826700337,49.0815366991917,48.9422546505475,50.7347580841676,52.5511514273736,54.3909181969472,56.2537933853949,58.1394553161736,60.0476398835019,61.9776584349106,63.9290958809538,65.9013944663153,67.8933392687702,69.9037022596908,69.9444998723732,69.9843294767126,70.0231498383663
