"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339057","8.94125853","9.80847323","9.94828911","10.62276563","9.90467425","10.25649568","9.81848731","8.56967118","8.56190731","7.89716844","8.8059641","9.52887835","10.09395812","10.19867734","","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33443523","5.48382352","4.0722882","4.45409993","4.75721084","3.73483575","3.36618335","3.21143792","3.49503605","3.5786773","2.73668404","2.84060264","2.69289044","2.9909286","2.79871941","2.9504308","2.87782524","","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.76132337","6.51584893","6.43433172","6.35372947","6.55977303","6.3428304","5.93267196","6.12899955","5.56658865","5.09043094","5.00999686","5.60327041","5.84830141","6.34386087","6.91679461","6.81974032","6.69789475","","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.34810142","9.36303175","9.11928151","8.46399555","8.2105437","8.56598259","8.43428174","8.42840207","8.79254158","9.02673648","9.44967141","9.76589433","10.0469414","10.11211363","10.27647843","10.26117376","10.36772767","","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.99382444164967","4.29660331683679","4.28166942980397","4.12795112632531","3.79959179098888","3.48766210497667","3.48386686589161","3.57156582611384","3.40432244437945","4.45518686245029","3.98656070875291","3.94526877455475","4.01204963842291","4.2323610100443","4.56717969795599","5.0260645679666","4.89162786030618","","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413528","2.48437055","2.71770866","2.64634393","2.46204336","2.32019676","2.32541382","2.56569632","2.92847511","4.04999315","3.87748451","3.66753542","3.42311687","3.59005323","3.62966276","3.58545347","3.51684955","","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46696453","8.62096807","7.67272924","7.13188245","6.99268547","7.62903684","7.56810123","7.61793101","7.66306468","9.0087642","8.61198493","8.39473866","8.40588238","8.37804641","8.23722377","8.74331517","7.54838404","","","",
"Armenia","ARM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.50522445","6.53626247","5.69081243","5.61072465","8.22784404","7.03488014","5.58846065","5.44514418","4.34674945","4.68904566","5.26418115","3.77725969","6.71185884","8.26983964","10.17829917","10.11762751","9.92732109","","","",
"American Samoa","ASM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86616444","4.38242021","4.33798022","4.44598377","4.103557","4.52660086","4.60802371","4.65372633","4.8943254","4.53530726","5.44945777","5.69953093","5.14781703","5.37923378","5.79066573","4.71598097","4.30900835","","","",
"Australia","AUS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.61707773","7.69938881","7.89658743","7.91207047","8.11845983","7.99579299","8.000101","8.07836906","8.26794704","8.57721647","8.44516726","8.55670577","8.68936294","8.77363922","9.05467885","9.33006717","9.25209201","","","",
"Austria","AUT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.20371376","9.26942913","9.39476496","9.54723934","9.70939878","9.62702946","9.53113317","9.5320968","9.72564585","10.22582486","10.22101873","10.0261327","10.1991558","10.28574895","10.37068975","10.34288459","10.43762567","","","",
"Azerbaijan","AZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83484085","3.6925085","3.71932674","5.99169193","7.34419951","7.39779669","5.74622122","4.71663216","3.9974416","5.38740152","4.91139611","4.63010097","4.97886665","5.13332142","5.56193369","6.83903754","6.89059972","","","",
"Burundi","BDI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1769717","6.40484397","6.47216086","6.31327698","7.70102642","8.42368558","9.9423231","10.58081167","9.23542747","10.35023271","11.27638905","9.96448336","8.63756421","8.22941463","5.39602419","4.88310844","6.19156298","","","",
"Belgium","BEL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.94200339","8.10531987","8.26349835","9.04339956","9.05378647","8.96633019","8.86284512","8.88910585","9.27231823","9.99622285","9.84112539","10.0035341","10.10650062","10.27055629","10.34051179","10.10563808","10.03841793","","","",
"Benin","BEN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23000811","4.42538029","4.15323223","4.14783257","4.19944892","4.01271636","4.05954486","3.95197355","3.68345436","3.8567478","4.08980515","4.22198335","4.66644064","3.90670457","3.64550634","3.99181962","3.85561779","","","",
"Burkina Faso","BFA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31752214","3.24898607","3.34058614","3.53623761","4.74466418","4.44255899","5.07866682","5.88637817","5.22738885","5.71526658","5.8929595","5.20144013","4.89312958","6.14418635","5.6191598","5.82531598","6.75254452","","","",
"Bangladesh","BGD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.00194616","1.98674389","2.15190252","2.19150287","2.21405104","2.27546513","2.32201091","2.38769169","2.34595662","2.40338224","2.49591565","2.56593651","2.57301204","2.503348","2.49601074","2.46311455","2.36505997","","","",
"Bulgaria","BGR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8708527","6.91216546","7.13596914","7.25556114","6.94398137","6.94420055","6.57317955","6.15947624","6.29068295","6.61345274","7.10581466","7.1348085","7.59439374","7.84915068","8.51112283","8.20309288","8.23011604","","","",
"Bahrain","BHR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.56132629","3.68104197","3.85486554","3.98856868","3.47338188","3.17561626","3.06248922","3.30373317","3.28510396","4.05684638","3.84291477","3.57691312","4.10642622","4.31073968","4.40681854","4.97506622","4.86947429","","","",
"Bahamas, The","BHS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.99950471","3.97932195","4.09863754","4.31792559","4.6051905","4.59536397","5.32113701","5.4624223","5.70017101","5.85053096","5.92313788","6.04766634","6.04477612","5.99419313","5.94798967","5.98754448","6.37542177","","","",
"Bosnia and Herzegovina","BIH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.66593519","7.2888782","7.13765694","8.04377063","9.06270219","9.05223725","9.17218676","9.53060185","9.68943897","9.02212123","9.01888267","9.17856037","9.49001539","9.4868973","9.56130986","9.34804253","9.22955617","","","",
"Belarus","BLR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.47175575","5.90256785","5.8155264","5.96834573","5.93158652","6.27653358","5.76280346","5.8850213","5.47316103","5.39064959","5.65694316","4.87452739","5.24690672","5.69563084","5.38792165","6.06528028","6.31679395","","","",
"Belize","BLZ","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94203035","4.2287922","3.86432697","4.26017834","4.09160964","4.21672778","4.16392366","4.56838435","4.64610888","5.31106956","5.76487359","5.57512577","5.3225885","5.72733113","5.65245816","5.88424805","6.12137415","","","",
"Bermuda","BMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.33804495","4.76304944","4.83112318","5.1311994","4.79972689","4.96276208","4.58558345","4.61701452","4.53157733","5.08111523","5.09703657","5.06354666","5.12558001","5.52485262","5.77771607","6.42235639","6.86056405","","","",
"Brazil","BRA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56181769","6.7298316","8.18188846","7.84622081","8.06186239","8.25106619","8.34044194","8.2778788","8.11638847","8.44724142","9.723471","9.7830923","10.03918369","10.23850921","10.81982148","11.4647339","11.77150303","","","",
"Barbados","BRB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22596958","5.41537101","5.74473099","6.55009757","7.16940451","6.63345647","6.58012227","6.0558318","6.47608671","7.14868432","6.773987","6.88898548","7.74125648","7.60749803","7.14459683","7.01271476","6.96244846","","","",
"Brunei Darussalam","BRN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.54324771","2.54193896","2.52989703","2.59788566","2.54709627","2.22967588","1.90329323","1.94069532","1.86958547","2.39306613","2.278261","1.86409724","1.8509721","1.89831397","1.91436808","2.3870891","2.3409551","","","",
